Entry number,Time,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5
0.28250000000000003,4:25:47 PM,4,6,1,0,0
0.28375,4:25:47 PM,5,5,0,0,0
0.28500000000000003,4:25:47 PM,4,8,2,0,0
0.28625,4:25:47 PM,3,10,2,0,0
0.28750000000000003,4:25:47 PM,4,16,1,0,0
0.28875,4:25:47 PM,4,8,5,0,0
0.29,4:25:47 PM,4,9,3,0,0
0.29125,4:25:47 PM,5,11,2,0,0
0.2925,4:25:47 PM,4,7,1,0,0
0.29375,4:25:47 PM,8,7,4,0,0
0.295,4:25:47 PM,3,8,0,0,0
0.29625,4:25:47 PM,4,5,2,0,0
0.2975,4:25:47 PM,6,5,0,0,0
0.29875,4:25:47 PM,6,11,1,0,0
0.3,4:25:47 PM,1,15,2,0,0
0.30125,4:25:47 PM,4,15,0,0,0
0.3025,4:25:47 PM,4,7,1,0,0
0.30375,4:25:47 PM,3,12,2,0,0
0.305,4:25:47 PM,6,10,0,0,0
0.30625,4:25:47 PM,2,12,6,0,0
0.3075,4:25:47 PM,2,15,1,0,0
0.30875,4:25:47 PM,3,7,0,0,0
0.31,4:25:47 PM,4,9,1,0,0
0.31125,4:25:47 PM,7,7,1,0,0
0.3125,4:25:47 PM,7,12,1,0,0
0.31375000000000003,4:25:47 PM,7,16,1,0,0
0.315,4:25:47 PM,4,8,1,0,0
0.31625000000000003,4:25:47 PM,8,16,1,0,0
0.3175,4:25:47 PM,9,18,1,0,0
0.31875000000000003,4:25:47 PM,3,13,0,0,0
0.32,4:25:47 PM,5,8,3,0,0
0.32125,4:25:47 PM,6,6,2,0,0
0.3225,4:25:47 PM,8,12,2,0,0
0.32375,4:25:47 PM,6,11,3,0,0
0.325,4:25:47 PM,3,6,1,0,0
0.32625,4:25:47 PM,5,11,0,0,0
0.3275,4:25:47 PM,7,15,1,0,0
0.32875,4:25:47 PM,3,8,4,0,0
0.33,4:25:47 PM,5,8,1,0,0
0.33125,4:25:47 PM,2,13,0,0,0
0.3325,4:25:47 PM,8,7,2,0,0
0.33375,4:25:47 PM,5,16,0,0,0
0.335,4:25:47 PM,6,10,5,0,0
0.33625,4:25:47 PM,3,11,0,0,0
0.3375,4:25:47 PM,4,5,1,0,0
0.33875,4:25:47 PM,4,12,1,0,0
0.34,4:25:47 PM,6,13,0,0,0
0.34125,4:25:47 PM,5,7,0,0,0
0.3425,4:25:47 PM,6,7,1,0,0
0.34375,4:25:47 PM,5,12,5,0,0
0.34500000000000003,4:25:47 PM,4,8,1,0,0
0.34625,4:25:47 PM,4,8,1,0,0
0.34750000000000003,4:25:47 PM,5,5,2,0,0
0.34875,4:25:47 PM,1,12,1,0,0
0.35000000000000003,4:25:47 PM,4,8,0,0,0
0.35125,4:25:47 PM,4,11,2,0,0
0.3525,4:25:47 PM,5,9,3,0,0
0.35375,4:25:47 PM,7,7,1,0,0
0.355,4:25:47 PM,1,5,3,0,0
0.35625,4:25:47 PM,8,13,2,0,0
0.3575,4:25:47 PM,9,11,0,0,0
0.35875,4:25:47 PM,3,9,1,0,0
0.36,4:25:47 PM,8,9,4,0,0
0.36125,4:25:47 PM,5,9,1,0,0
0.3625,4:25:47 PM,6,14,2,0,0
0.36375,4:25:47 PM,4,12,1,0,0
0.365,4:25:47 PM,5,8,1,0,0
0.36625,4:25:47 PM,3,14,0,0,0
0.3675,4:25:47 PM,4,11,2,0,0
0.36875,4:25:47 PM,9,13,2,0,0
0.37,4:25:47 PM,4,14,3,0,0
0.37125,4:25:47 PM,5,8,0,0,0
0.3725,4:25:47 PM,3,11,2,0,0
0.37375,4:25:47 PM,4,7,4,0,0
0.375,4:25:47 PM,1,14,1,0,0
0.37625000000000003,4:25:47 PM,5,19,2,0,0
0.3775,4:25:47 PM,6,4,2,0,0
0.37875000000000003,4:25:47 PM,6,7,2,0,0
0.38,4:25:47 PM,1,10,1,0,0
0.38125000000000003,4:25:47 PM,4,8,6,0,0
0.3825,4:25:47 PM,1,11,3,0,0
0.38375000000000004,4:25:47 PM,5,10,0,0,0
0.385,4:25:47 PM,5,8,0,0,0
0.38625,4:25:47 PM,10,9,2,0,0
0.3875,4:25:47 PM,4,11,2,0,0
0.38875,4:25:47 PM,4,12,2,0,0
0.39,4:25:47 PM,6,14,1,0,0
0.39125,4:25:47 PM,4,10,1,0,0
0.3925,4:25:47 PM,4,7,2,0,0
0.39375,4:25:47 PM,6,7,1,0,0
0.395,4:25:47 PM,10,10,2,0,0
0.39625,4:25:47 PM,1,11,1,0,0
0.3975,4:25:47 PM,6,10,0,0,0
0.39875,4:25:47 PM,1,7,1,0,0
0.4,4:25:47 PM,1,13,4,0,0
0.40125,4:25:48 PM,5,6,1,0,0
0.4025,4:25:48 PM,2,9,0,0,0
0.40375,4:25:48 PM,4,7,0,0,0
0.405,4:25:48 PM,4,12,1,0,0
0.40625,4:25:48 PM,5,10,1,0,0
0.40750000000000003,4:25:48 PM,7,5,0,0,0
0.40875,4:25:48 PM,7,7,3,0,0
0.41000000000000003,4:25:48 PM,3,14,2,0,0
0.41125,4:25:48 PM,7,6,2,0,0
0.41250000000000003,4:25:48 PM,6,11,0,0,0
0.41375,4:25:48 PM,4,8,0,0,0
0.41500000000000004,4:25:48 PM,3,3,2,0,0
0.41625,4:25:48 PM,6,12,0,0,0
0.4175,4:25:48 PM,7,15,1,0,0
0.41875,4:25:48 PM,6,8,1,0,0
0.42,4:25:48 PM,2,12,2,0,0
0.42125,4:25:48 PM,9,16,2,0,0
0.4225,4:25:48 PM,5,7,0,0,0
0.42375,4:25:48 PM,7,13,0,0,0
0.425,4:25:48 PM,5,11,1,0,0
0.42625,4:25:48 PM,2,11,0,0,0
0.4275,4:25:48 PM,5,13,0,0,0
0.42875,4:25:48 PM,6,13,1,0,0
0.43,4:25:48 PM,6,13,1,0,0
0.43125,4:25:48 PM,5,11,1,0,0
0.4325,4:25:48 PM,3,7,1,0,0
0.43375,4:25:48 PM,6,10,0,0,0
0.435,4:25:48 PM,3,12,2,0,0
0.43625,4:25:48 PM,7,8,1,0,0
0.4375,4:25:48 PM,6,12,3,0,0
0.43875000000000003,4:25:48 PM,10,15,0,0,0
0.44,4:25:48 PM,6,12,2,0,0
0.44125000000000003,4:25:48 PM,6,11,1,0,0
0.4425,4:25:48 PM,3,11,1,0,0
0.44375000000000003,4:25:48 PM,3,11,2,0,0
0.445,4:25:48 PM,4,14,3,0,0
0.44625000000000004,4:25:48 PM,6,14,3,0,0
0.4475,4:25:48 PM,5,17,0,0,0
0.44875,4:25:48 PM,11,18,0,0,0
0.45,4:25:48 PM,3,9,0,0,0
0.45125,4:25:48 PM,4,7,1,0,0
0.4525,4:25:48 PM,3,15,1,0,0
